verse_id,text,chapter,ppl_gpt,z_gpt,ppl_dicta,z_dicta,CFI,shared_seam,cfi_percentile
Isa.5.10,כי עשרת צמדי כרם יעשו בת אחת וזרע חמר יעשה איפה,5,350.61199188,0.8361616434,1135.5576879501,-0.5671842011,0.2689774423,False,62.74
Isa.5.11,הוי משכימי בבקר שכר ירדפו מאחרי בנשף יין ידליקם,5,227.0556671453,0.1941595871,50903.1001815735,1.9840580973,2.1782176844,False,87.14
Isa.5.12,והיה כנור ונבל תף וחליל ויין משתיהם ואת פעל יהוה לא יביטו ומעשה ידיו לא ראו,5,48.6833399421,-1.5503539254,783.499767973,-0.7497365559,-2.3000904813,False,0.85
Isa.5.13,לכן גלה עמי מבלי דעת וכבודו מתי רעב והמונו צחה צמא,5,305.7163405953,0.5564151747,7137.5604836256,-0.80669811,-0.2502829353,False,55.15
Isa.5.14,לכן הרחיבה שאול נפשה ופערה פיה לבלי חק וירד הדרה והמונה ושאונה ועלז בה,5,150.4341558791,-0.5496316721,14008.0753053762,-0.1562030996,-0.7058347717,False,46.79
Isa.5.15,וישח אדם וישפל איש ועיני גבהים תשפלנה,5,432.2353378257,-0.2327199911,58482.5474765788,-0.2958784053,-0.5285983964,False,51.12
Isa.5.16,ויגבה יהוה צבאות במשפט והאל הקדוש נקדש בצדקה,5,179.9474067116,-0.5373659727,6046.8983996953,-0.6048628575,-1.1422288302,False,32.84
Isa.5.17,ורעו כבשים כדברם וחרבות מחים גרים יאכלו,5,1829.1282611979,1.951170687,479050.6348528814,1.9739633892,3.9251340762,True,98.84
Isa.5.18,הוי משכי העון בחבלי השוא וכעבות העגלה חטאה,5,77.4716949683,-0.655084472,23860.7484091438,-0.5237981365,-1.1788826085,False,31.06
Isa.5.19,האמרים ימהר יחישה מעשהו למען נראה ותקרב ותבואה עצת קדוש ישראל ונדעה,5,431.8017026343,-0.1329267655,88293.0098807531,-0.1648058261,-0.2977325916,False,54.3
Isa.5.20,הוי האמרים לרע טוב ולטוב רע שמים חשך לאור ואור לחשך שמים מר למתוק ומתוק למר,5,62.4754234366,-0.7818158837,32.8229603221,-0.6653343066,-1.4471501903,False,19.44
Isa.5.21,הוי חכמים בעיניהם ונגד פניהם נבנים,5,201.7970361316,0.0736770013,1129.2251187837,-0.6099188238,-0.5362418225,False,50.89
Isa.5.22,הוי גבורים לשתות יין ואנשי חיל למסך שכר,5,83.6434219114,-1.0226655856,92.0909104373,-0.7407920097,-1.7634575953,False,9.53
Isa.5.23,מצדיקי רשע עקב שחד וצדקת צדיקים יסירו ממנו,5,180.886416447,0.434016087,19938.1187556048,1.8667808996,2.3007969866,False,87.92
Isa.5.24,לכן כאכל קש לשון אש וחשש להבה ירפה שרשם כמק יהיה ופרחם כאבק יעלה כי מאסו את תורת,5,233.4448146222,0.4750840259,7496.2017810571,0.1937626034,0.6688466292999999,False,67.78
Isa.5.25,על כן חרה אף יהוה בעמו ויט ידו עליו ויכהו וירגזו ההרים ותהי נבלתם כסוחה בקרב חוצ,5,53.0816134971,-1.1371691633,392.2139191733,-0.7683699656,-1.9055391289,False,5.58
Isa.5.26,ונשא נס לגוים מרחוק ושרק לו מקצה הארץ והנה מהרה קל יבוא,5,356.9412155716,1.4403146012,2363.5301757988,-0.5094750131,0.9308395881000001,False,71.49
Isa.5.27,אין עיף ואין כושל בו לא ינום ולא יישן ולא נפתח אזור חלציו ולא נתק שרוך נעליו,5,72.8937147968,-0.9896157667,232.3810523033,-0.5767643827,-1.5663801494,False,14.72
Isa.5.28,אשר חציו שנונים וכל קשתתיו דרכות פרסות סוסיו כצר נחשבו וגלגליו כסופה,5,245.5232733914,0.2118121144,38671.7257872994,-0.3302564589,-0.11844434449999999,False,56.7
Isa.5.29,שאגה לו כלביא ושאג ישאג ככפירים וינהם ויאחז טרף ויפליט ואין מציל,5,192.5545161518,0.3461822634,326213.4269085057,1.9840882571,2.3302705205,False,88.3
Isa.5.30,וינהם עליו ביום ההוא כנהמת ים ונבט לארץ והנה חשך צר ואור חשך בעריפיה,5,261.1250941373,1.0707013977,30960.8732445001,-0.3900953638,0.6806060339,False,67.93
Isa.6.1,בשנת מות המלך עזיהו ואראה את אדני ישב על כסא רם ונשא ושוליו מלאים את ההיכל,6,29.991598476,-0.745128076,176.4619191818,-0.5599399467,-1.3050680227,False,24.94
Isa.6.2,שרפים עמדים ממעל לו שש כנפים שש כנפים לאחד בשתים יכסה פניו ובשתים יכסה רגליו ובש,6,29.5932925141,-0.6364545288,1298.0410338433,-0.5417166539,-1.1781711826999999,False,31.14
Isa.6.3,וקרא זה אל זה ואמר קדוש קדוש קדוש יהוה צבאות מלא כל הארץ כבודו,6,14.7751352727,-0.7539604753,2.5591055705,-0.6484141085,-1.4023745838,False,20.91
Isa.6.4,וינעו אמות הספים מקול הקורא והבית ימלא עשן,6,105.5956760578,1.0799304783,6110.5771740349,-0.2728188383,0.8071116400000001,False,69.79
Isa.6.5,ואמר אוי לי כי נדמיתי כי איש טמא שפתים אנכי ובתוך עם טמא שפתים אנכי יושב כי את ה,6,19.6492518673,-0.8954154511,24.0795298165,-0.5897346854,-1.4851501365,False,18.2
Isa.6.6,ויעף אלי אחד מן השרפים ובידו רצפה במלקחים לקח מעל המזבח,6,117.4955915382,1.3429435285,49046.5349313766,1.9860558461,3.3289993746,False,93.73
Isa.6.7,ויגע על פי ויאמר הנה נגע זה על שפתיך וסר עונך וחטאתך תכפר,6,36.8025266438,-0.5481517847,1059.973919157,-0.4615279451,-1.0096797298,False,37.18
Isa.6.8,ואשמע את קול אדני אמר את מי אשלח ומי ילך לנו ואמר הנני שלחני,6,45.5924858073,-0.2186449743,109.8928328452,-0.5175251306,-0.7361701049,False,46.17
Isa.6.9,ויאמר לך ואמרת לעם הזה שמעו שמוע ואל תבינו וראו ראו ואל תדעו,6,55.9990560897,1.0713800436,53.1713593763,-0.9397044232,0.13167562040000003,False,60.5
Isa.6.10,השמן לב העם הזה ואזניו הכבד ועיניו השע פן יראה בעיניו ובאזניו ישמע ולבבו יבין וש,6,10.7794771456,-1.3058506282,586.1936747198,-0.3138855766,-1.6197362048,False,13.48
