verse_id,text,raw_ppl_gpt,raw_ppl_dicta,rare_ratio,disc_ppl_gpt,disc_ppl_dicta,global_z_gpt,global_z_dicta,CFI_mag,p_val_gpt,p_val_dicta,p_adj_gpt,p_adj_dicta,Strict_Shared_Seam,p_val_cfi,p_adj_cfi,Significant_CFI_Seam,cfi_percentile,chapter,Regime_ID,Is_Regime_Change
Lev.17.4,ואל פתח אהל מועד לא הביאו להקריב קרבן ליהוה לפני משכן יהוה דם יחשב לאיש ההוא דם שפך ונכרת האיש ההוא מקרב עמו,11.067236496921156,27.868441082713186,0.0,11.067236496921156,27.868441082713186,-0.4337801005297913,-0.09924039102101637,0.0,0.6677759333230817,0.5395262971342478,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.5,למען אשר יביאו בני ישראל את זבחיהם אשר הם זבחים על פני השדה והביאם ליהוה אל פתח אהל מועד אל הכהן וזבחו זבחי שלמים ליהוה אותם,8.610272859283056,70.66040699468844,0.07692307692307693,7.462236478045315,61.23901939539665,-0.48037227167451796,-0.09890235417486691,0.0,0.6845186463459011,0.5393921001441957,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.6,וזרק הכהן את הדם על מזבח יהוה פתח אהל מועד והקטיר החלב לריח ניחח ליהוה,19.411313676489485,300.9995061289436,0.06666666666666667,17.127629714549546,265.58779952553846,-0.35545364379703004,-0.09683234458431006,0.0,0.6388751163935233,0.53857023132062,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.7,ולא יזבחו עוד את זבחיהם לשעירם אשר הם זנים אחריהם חקת עולם תהיה זאת להם לדרתם,37.61497737800134,702.5106821643527,0.125,30.091981902401074,562.0085457314822,-0.187898217235549,-0.09382966560039077,0.0,0.5745217798562112,0.5373777670529674,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.8,ואלהם תאמר איש איש מבית ישראל ומן הגר אשר יגור בתוכם אשר יעלה עלה או זבח,73.4811929495723,73.95695002496588,0.0625,65.31661595517538,65.739511133303,0.26735619877108463,-0.09885676515273643,0.26735619877108463,0.394597460290209,0.5393740014493476,0.7081065677668773,0.5396339731824624,False,0.9648914524182725,1.0,False,82.31,17,1,False
Lev.17.9,ואל פתח אהל מועד לא יביאנו לעשות אתו ליהוה ונכרת האיש ההוא מעמיו,33.98183835074438,3691.1886467867153,0.07692307692307693,29.450926570645134,3199.030160548487,-0.19618342100088104,-0.06711719866175526,0.0,0.5777666979823041,0.5267557988921503,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.10,ואיש איש מבית ישראל ומן הגר הגר בתוכם אשר יאכל כל דם ונתתי פני בנפש האכלת את הדם והכרתי אתה מקרב עמה,29.41235694488412,13.527603933034786,0.0,29.41235694488412,13.527603933034786,-0.19668190715761777,-0.0993856606449287,0.0,0.5779617652341297,0.5395839662294554,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.11,כי נפש הבשר בדם הוא ואני נתתיו לכם על המזבח לכפר על נפשתיכם כי הדם הוא בנפש יכפר,23.815905387157272,17.621761870225832,0.0,23.815905387157272,17.621761870225832,-0.26901223376385497,-0.09934418769759892,0.0,0.6060398657995512,0.5395675023951374,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.12,על כן אמרתי לבני ישראל כל נפש מכם לא תאכל דם והגר הגר בתוככם לא יאכל דם,11.450493912402806,3.321877140009883,0.0,11.450493912402806,3.321877140009883,-0.4288267593366962,-0.09948904248223014,0.0,0.6659753482589834,0.5396250062156647,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.13,ואיש איש מבני ישראל ומן הגר הגר בתוכם אשר יצוד ציד חיה או עוף אשר יאכל ושפך את דמו וכסהו בעפר,11.80386408651202,27.97342049066945,0.14285714285714285,9.180783178398238,21.75710482607624,-0.4581612254709683,-0.09930229755480777,0.0,0.6765816926257557,0.5395508728746744,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
Lev.17.14,כי נפש כל בשר דמו בנפשו הוא ואמר לבני ישראל דם כל בשר לא תאכלו כי נפש כל בשר דמו הוא כל אכליו יכרת,16.903841004554245,34.21460239098109,0.0,16.903841004554245,34.21460239098109,-0.3583459605298355,-0.09917610575949942,0.0,0.6399577864307986,0.5395007769234393,0.7081065677668773,0.5396339731824624,False,1.0,1.0,False,34.87,17,1,False
